Main,Xpath,Value 
,/NewDataSet/Table[11]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[12]/Town,[A-Za-z].*
,/NewDataSet/Table[12]/County,[A-Za-z].*
,/NewDataSet/Table[12]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[13]/Town,[A-Za-z].*
,/NewDataSet/Table[13]/County,[A-Za-z].*
,/NewDataSet/Table[13]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[14]/Town,[A-Za-z].*
,/NewDataSet/Table[14]/County,[A-Za-z].*
,/NewDataSet/Table[14]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[15]/Town,[A-Za-z].*
,/NewDataSet/Table[15]/County,[A-Za-z].*
,/NewDataSet/Table[15]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[16]/Town,[A-Za-z].*
,/NewDataSet/Table[16]/County,[A-Za-z].*
,/NewDataSet/Table[16]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[17]/Town,[A-Za-z].*
,/NewDataSet/Table[17]/County,[A-Za-z].*
,/NewDataSet/Table[17]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[18]/Town,[A-Za-z].*
,/NewDataSet/Table[18]/County,[A-Za-z].*
,/NewDataSet/Table[18]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[19]/Town,[A-Za-z].*
,/NewDataSet/Table[19]/County,[A-Za-z].*
,/NewDataSet/Table[19]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[20]/Town,[A-Za-z].*
,/NewDataSet/Table[20]/County,[A-Za-z].*
,/NewDataSet/Table[20]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[21]/Town,[A-Za-z].*
,/NewDataSet/Table[21]/County,[A-Za-z].*
,/NewDataSet/Table[21]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[22]/Town,[A-Za-z].*
,/NewDataSet/Table[22]/County,[A-Za-z].*
,/NewDataSet/Table[22]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[23]/Town,[A-Za-z].*
,/NewDataSet/Table[23]/County,[A-Za-z].*
,/NewDataSet/Table[23]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[24]/Town,[A-Za-z].*
,/NewDataSet/Table[24]/County,[A-Za-z].*
,/NewDataSet/Table[24]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[25]/Town,[A-Za-z].*
,/NewDataSet/Table[25]/County,[A-Za-z].*
,/NewDataSet/Table[25]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[26]/Town,[A-Za-z].*
,/NewDataSet/Table[26]/County,[A-Za-z].*
,/NewDataSet/Table[26]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[27]/Town,[A-Za-z].*
,/NewDataSet/Table[27]/County,[A-Za-z].*
,/NewDataSet/Table[27]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[28]/Town,[A-Za-z].*
,/NewDataSet/Table[28]/County,[A-Za-z].*
,/NewDataSet/Table[28]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[29]/Town,[A-Za-z].*
,/NewDataSet/Table[29]/County,[A-Za-z].*
,/NewDataSet/Table[29]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[30]/Town,[A-Za-z].*
,/NewDataSet/Table[30]/County,[A-Za-z].*
,/NewDataSet/Table[30]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[31]/Town,[A-Za-z].*
,/NewDataSet/Table[31]/County,[A-Za-z].*
,/NewDataSet/Table[31]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[32]/Town,[A-Za-z].*
,/NewDataSet/Table[32]/County,[A-Za-z].*
,/NewDataSet/Table[32]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[33]/Town,[A-Za-z].*
,/NewDataSet/Table[33]/County,[A-Za-z].*
,/NewDataSet/Table[33]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[34]/Town,[A-Za-z].*
,/NewDataSet/Table[34]/County,[A-Za-z].*
,/NewDataSet/Table[34]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[35]/Town,[A-Za-z].*
,/NewDataSet/Table[35]/County,[A-Za-z].*
,/NewDataSet/Table[35]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[36]/Town,[A-Za-z].*
,/NewDataSet/Table[36]/County,[A-Za-z].*
,/NewDataSet/Table[36]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[37]/Town,[A-Za-z].*
,/NewDataSet/Table[37]/County,[A-Za-z].*
,/NewDataSet/Table[37]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[38]/Town,[A-Za-z].*
,/NewDataSet/Table[38]/County,[A-Za-z].*
,/NewDataSet/Table[38]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[39]/Town,[A-Za-z].*
,/NewDataSet/Table[39]/County,[A-Za-z].*
,/NewDataSet/Table[39]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[40]/Town,[A-Za-z].*
,/NewDataSet/Table[40]/County,[A-Za-z].*
,/NewDataSet/Table[40]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[41]/Town,[A-Za-z].*
,/NewDataSet/Table[41]/County,[A-Za-z].*
,/NewDataSet/Table[41]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[42]/Town,[A-Za-z].*
,/NewDataSet/Table[42]/County,[A-Za-z].*
,/NewDataSet/Table[42]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[43]/Town,[A-Za-z].*
,/NewDataSet/Table[43]/County,[A-Za-z].*
,/NewDataSet/Table[43]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[44]/Town,[A-Za-z].*
,/NewDataSet/Table[44]/County,[A-Za-z].*
,/NewDataSet/Table[44]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[45]/Town,[A-Za-z].*
,/NewDataSet/Table[45]/County,[A-Za-z].*
,/NewDataSet/Table[45]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[46]/Town,[A-Za-z].*
,/NewDataSet/Table[46]/County,[A-Za-z].*
,/NewDataSet/Table[46]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[47]/Town,[A-Za-z].*
,/NewDataSet/Table[47]/County,[A-Za-z].*
,/NewDataSet/Table[47]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[48]/Town,[A-Za-z].*
,/NewDataSet/Table[48]/County,[A-Za-z].*
,/NewDataSet/Table[48]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[49]/Town,[A-Za-z].*
,/NewDataSet/Table[49]/County,[A-Za-z].*
,/NewDataSet/Table[49]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[50]/Town,[A-Za-z].*
,/NewDataSet/Table[50]/County,[A-Za-z].*
,/NewDataSet/Table[50]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[51]/Town,[A-Za-z].*
,/NewDataSet/Table[51]/County,[A-Za-z].*
,/NewDataSet/Table[51]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[52]/Town,[A-Za-z].*
,/NewDataSet/Table[52]/County,[A-Za-z].*
,/NewDataSet/Table[52]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[53]/Town,[A-Za-z].*
,/NewDataSet/Table[53]/County,[A-Za-z].*
,/NewDataSet/Table[53]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[54]/Town,[A-Za-z].*
,/NewDataSet/Table[54]/County,[A-Za-z].*
,/NewDataSet/Table[54]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[55]/Town,[A-Za-z].*
,/NewDataSet/Table[55]/County,[A-Za-z].*
,/NewDataSet/Table[55]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[56]/Town,[A-Za-z].*
,/NewDataSet/Table[56]/County,[A-Za-z].*
,/NewDataSet/Table[56]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[57]/Town,[A-Za-z].*
,/NewDataSet/Table[57]/County,[A-Za-z].*
,/NewDataSet/Table[57]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[58]/Town,[A-Za-z].*
,/NewDataSet/Table[58]/County,[A-Za-z].*
,/NewDataSet/Table[58]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[59]/Town,[A-Za-z].*
,/NewDataSet/Table[59]/County,[A-Za-z].*
,/NewDataSet/Table[59]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[60]/Town,[A-Za-z].*
,/NewDataSet/Table[60]/County,[A-Za-z].*
,/NewDataSet/Table[60]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[61]/Town,[A-Za-z].*
,/NewDataSet/Table[61]/County,[A-Za-z].*
,/NewDataSet/Table[61]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[62]/Town,[A-Za-z].*
,/NewDataSet/Table[62]/County,[A-Za-z].*
,/NewDataSet/Table[62]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[63]/Town,[A-Za-z].*
,/NewDataSet/Table[63]/County,[A-Za-z].*
,/NewDataSet/Table[63]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[64]/Town,[A-Za-z].*
,/NewDataSet/Table[64]/County,[A-Za-z].*
,/NewDataSet/Table[64]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[65]/Town,[A-Za-z].*
,/NewDataSet/Table[65]/County,[A-Za-z].*
,/NewDataSet/Table[65]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[66]/Town,[A-Za-z].*
,/NewDataSet/Table[66]/County,[A-Za-z].*
,/NewDataSet/Table[66]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[67]/Town,[A-Za-z].*
,/NewDataSet/Table[67]/County,[A-Za-z].*
,/NewDataSet/Table[67]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[68]/Town,[A-Za-z].*
,/NewDataSet/Table[68]/County,[A-Za-z].*
,/NewDataSet/Table[68]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[69]/Town,[A-Za-z].*
,/NewDataSet/Table[69]/County,[A-Za-z].*
,/NewDataSet/Table[69]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[70]/Town,[A-Za-z].*
,/NewDataSet/Table[70]/County,[A-Za-z].*
,/NewDataSet/Table[70]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[71]/Town,[A-Za-z].*
,/NewDataSet/Table[71]/County,[A-Za-z].*
,/NewDataSet/Table[71]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[72]/Town,[A-Za-z].*
,/NewDataSet/Table[72]/County,[A-Za-z].*
,/NewDataSet/Table[72]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[73]/Town,[A-Za-z].*
,/NewDataSet/Table[73]/County,[A-Za-z].*
,/NewDataSet/Table[73]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[74]/Town,[A-Za-z].*
,/NewDataSet/Table[74]/County,[A-Za-z].*
,/NewDataSet/Table[74]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[75]/Town,[A-Za-z].*
,/NewDataSet/Table[75]/County,[A-Za-z].*
,/NewDataSet/Table[75]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[76]/Town,[A-Za-z].*
,/NewDataSet/Table[76]/County,[A-Za-z].*
,/NewDataSet/Table[76]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[77]/Town,[A-Za-z].*
,/NewDataSet/Table[77]/County,[A-Za-z].*
,/NewDataSet/Table[77]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[78]/Town,[A-Za-z].*
,/NewDataSet/Table[78]/County,[A-Za-z].*
,/NewDataSet/Table[78]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[79]/Town,[A-Za-z].*
,/NewDataSet/Table[79]/County,[A-Za-z].*
,/NewDataSet/Table[79]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[80]/Town,[A-Za-z].*
,/NewDataSet/Table[80]/County,[A-Za-z].*
,/NewDataSet/Table[80]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[81]/Town,[A-Za-z].*
,/NewDataSet/Table[81]/County,[A-Za-z].*
,/NewDataSet/Table[81]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[82]/Town,[A-Za-z].*
,/NewDataSet/Table[82]/County,[A-Za-z].*
,/NewDataSet/Table[82]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[83]/Town,[A-Za-z].*
,/NewDataSet/Table[83]/County,[A-Za-z].*
,/NewDataSet/Table[83]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[84]/Town,[A-Za-z].*
,/NewDataSet/Table[84]/County,[A-Za-z].*
,/NewDataSet/Table[84]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[85]/Town,[A-Za-z].*
,/NewDataSet/Table[85]/County,[A-Za-z].*
,/NewDataSet/Table[85]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[86]/Town,[A-Za-z].*
,/NewDataSet/Table[86]/County,[A-Za-z].*
,/NewDataSet/Table[86]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[87]/Town,[A-Za-z].*
,/NewDataSet/Table[87]/County,[A-Za-z].*
,/NewDataSet/Table[87]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[88]/Town,[A-Za-z].*
,/NewDataSet/Table[88]/County,[A-Za-z].*
,/NewDataSet/Table[88]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[89]/Town,[A-Za-z].*
,/NewDataSet/Table[89]/County,[A-Za-z].*
,/NewDataSet/Table[89]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[90]/Town,[A-Za-z].*
,/NewDataSet/Table[90]/County,[A-Za-z].*
,/NewDataSet/Table[90]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[91]/Town,[A-Za-z].*
,/NewDataSet/Table[91]/County,[A-Za-z].*
,/NewDataSet/Table[91]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[92]/Town,[A-Za-z].*
,/NewDataSet/Table[92]/County,[A-Za-z].*
,/NewDataSet/Table[92]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[93]/Town,[A-Za-z].*
,/NewDataSet/Table[93]/County,[A-Za-z].*
,/NewDataSet/Table[93]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[94]/Town,[A-Za-z].*
,/NewDataSet/Table[94]/County,[A-Za-z].*
,/NewDataSet/Table[94]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[95]/Town,[A-Za-z].*
,/NewDataSet/Table[95]/County,[A-Za-z].*
,/NewDataSet/Table[95]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[96]/Town,[A-Za-z].*
,/NewDataSet/Table[96]/County,[A-Za-z].*
,/NewDataSet/Table[96]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[97]/Town,[A-Za-z].*
,/NewDataSet/Table[97]/County,[A-Za-z].*
,/NewDataSet/Table[97]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[98]/Town,[A-Za-z].*
,/NewDataSet/Table[98]/County,[A-Za-z].*
,/NewDataSet/Table[98]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[99]/Town,[A-Za-z].*
,/NewDataSet/Table[99]/County,[A-Za-z].*
,/NewDataSet/Table[99]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[100]/Town,[A-Za-z].*
,/NewDataSet/Table[100]/County,[A-Za-z].*
,/NewDataSet/Table[100]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[101]/Town,[A-Za-z].*
,/NewDataSet/Table[101]/County,[A-Za-z].*
,/NewDataSet/Table[101]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[102]/Town,[A-Za-z].*
,/NewDataSet/Table[102]/County,[A-Za-z].*
,/NewDataSet/Table[102]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[103]/Town,[A-Za-z].*
,/NewDataSet/Table[103]/County,[A-Za-z].*
,/NewDataSet/Table[103]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[104]/Town,[A-Za-z].*
,/NewDataSet/Table[104]/County,[A-Za-z].*
,/NewDataSet/Table[104]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[105]/Town,[A-Za-z].*
,/NewDataSet/Table[105]/County,[A-Za-z].*
,/NewDataSet/Table[105]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[106]/Town,[A-Za-z].*
,/NewDataSet/Table[106]/County,[A-Za-z].*
,/NewDataSet/Table[106]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[107]/Town,[A-Za-z].*
,/NewDataSet/Table[107]/County,[A-Za-z].*
,/NewDataSet/Table[107]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[108]/Town,[A-Za-z].*
,/NewDataSet/Table[108]/County,[A-Za-z].*
,/NewDataSet/Table[108]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[109]/Town,[A-Za-z].*
,/NewDataSet/Table[109]/County,[A-Za-z].*
,/NewDataSet/Table[109]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[110]/Town,[A-Za-z].*
,/NewDataSet/Table[110]/County,[A-Za-z].*
,/NewDataSet/Table[110]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[111]/Town,[A-Za-z].*
,/NewDataSet/Table[111]/County,[A-Za-z].*
,/NewDataSet/Table[111]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[112]/Town,[A-Za-z].*
,/NewDataSet/Table[112]/County,[A-Za-z].*
,/NewDataSet/Table[112]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[113]/Town,[A-Za-z].*
,/NewDataSet/Table[113]/County,[A-Za-z].*
,/NewDataSet/Table[113]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[114]/Town,[A-Za-z].*
,/NewDataSet/Table[114]/County,[A-Za-z].*
,/NewDataSet/Table[114]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[115]/Town,[A-Za-z].*
,/NewDataSet/Table[115]/County,[A-Za-z].*
,/NewDataSet/Table[115]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[116]/Town,[A-Za-z].*
,/NewDataSet/Table[116]/County,[A-Za-z].*
,/NewDataSet/Table[116]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[117]/Town,[A-Za-z].*
,/NewDataSet/Table[117]/County,[A-Za-z].*
,/NewDataSet/Table[117]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[118]/Town,[A-Za-z].*
,/NewDataSet/Table[118]/County,[A-Za-z].*
,/NewDataSet/Table[118]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[119]/Town,[A-Za-z].*
,/NewDataSet/Table[119]/County,[A-Za-z].*
,/NewDataSet/Table[119]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[120]/Town,[A-Za-z].*
,/NewDataSet/Table[120]/County,[A-Za-z].*
,/NewDataSet/Table[120]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[121]/Town,[A-Za-z].*
,/NewDataSet/Table[121]/County,[A-Za-z].*
,/NewDataSet/Table[121]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[122]/Town,[A-Za-z].*
,/NewDataSet/Table[122]/County,[A-Za-z].*
,/NewDataSet/Table[122]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[123]/Town,[A-Za-z].*
,/NewDataSet/Table[123]/County,[A-Za-z].*
,/NewDataSet/Table[123]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[124]/Town,[A-Za-z].*
,/NewDataSet/Table[124]/County,[A-Za-z].*
,/NewDataSet/Table[124]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[125]/Town,[A-Za-z].*
,/NewDataSet/Table[125]/County,[A-Za-z].*
,/NewDataSet/Table[125]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[126]/Town,[A-Za-z].*
,/NewDataSet/Table[126]/County,[A-Za-z].*
,/NewDataSet/Table[126]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[127]/Town,[A-Za-z].*
,/NewDataSet/Table[127]/County,[A-Za-z].*
,/NewDataSet/Table[127]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[128]/Town,[A-Za-z].*
,/NewDataSet/Table[128]/County,[A-Za-z].*
,/NewDataSet/Table[128]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[129]/Town,[A-Za-z].*
,/NewDataSet/Table[129]/County,[A-Za-z].*
,/NewDataSet/Table[129]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[130]/Town,[A-Za-z].*
,/NewDataSet/Table[130]/County,[A-Za-z].*
,/NewDataSet/Table[130]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[131]/Town,[A-Za-z].*
,/NewDataSet/Table[131]/County,[A-Za-z].*
,/NewDataSet/Table[131]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[132]/Town,[A-Za-z].*
,/NewDataSet/Table[132]/County,[A-Za-z].*
,/NewDataSet/Table[132]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[133]/Town,[A-Za-z].*
,/NewDataSet/Table[133]/County,[A-Za-z].*
,/NewDataSet/Table[133]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[134]/Town,[A-Za-z].*
,/NewDataSet/Table[134]/County,[A-Za-z].*
,/NewDataSet/Table[134]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[135]/Town,[A-Za-z].*
,/NewDataSet/Table[135]/County,[A-Za-z].*
,/NewDataSet/Table[135]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[136]/Town,[A-Za-z].*
,/NewDataSet/Table[136]/County,[A-Za-z].*
,/NewDataSet/Table[136]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[137]/Town,[A-Za-z].*
,/NewDataSet/Table[137]/County,[A-Za-z].*
,/NewDataSet/Table[137]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[138]/Town,[A-Za-z].*
,/NewDataSet/Table[138]/County,[A-Za-z].*
,/NewDataSet/Table[138]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[139]/Town,[A-Za-z].*
,/NewDataSet/Table[139]/County,[A-Za-z].*
,/NewDataSet/Table[139]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[140]/Town,[A-Za-z].*
,/NewDataSet/Table[140]/County,[A-Za-z].*
,/NewDataSet/Table[140]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[141]/Town,[A-Za-z].*
,/NewDataSet/Table[141]/County,[A-Za-z].*
,/NewDataSet/Table[141]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[142]/Town,[A-Za-z].*
,/NewDataSet/Table[142]/County,[A-Za-z].*
,/NewDataSet/Table[142]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[143]/Town,[A-Za-z].*
,/NewDataSet/Table[143]/County,[A-Za-z].*
,/NewDataSet/Table[143]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[144]/Town,[A-Za-z].*
,/NewDataSet/Table[144]/County,[A-Za-z].*
,/NewDataSet/Table[144]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[145]/Town,[A-Za-z].*
,/NewDataSet/Table[145]/County,[A-Za-z].*
,/NewDataSet/Table[145]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[146]/Town,[A-Za-z].*
,/NewDataSet/Table[146]/County,[A-Za-z].*
,/NewDataSet/Table[146]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[147]/Town,[A-Za-z].*
,/NewDataSet/Table[147]/County,[A-Za-z].*
,/NewDataSet/Table[147]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[148]/Town,[A-Za-z].*
,/NewDataSet/Table[148]/County,[A-Za-z].*
,/NewDataSet/Table[148]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[149]/Town,[A-Za-z].*
,/NewDataSet/Table[149]/County,[A-Za-z].*
,/NewDataSet/Table[149]/PostCode,[A-Za-z]{2}[0-9]+
,/NewDataSet/Table[150]/Town,[A-Za-z].*
,/NewDataSet/Table[150]/County,[A-Za-z].*
,/NewDataSet/Table[150]/PostCode,[A-Za-z]{2}[0-9]+
